x_value,sigmoid_approximation,sign_real
-0.352,1.4151915117587818e+17,0.0
-0.351,1.3560322557904096e+17,0.0
-0.35,1.299187538223058e+17,0.0
-0.349,1.2445730407193917e+17,0.0
-0.348,1.1921072882339824e+17,0.0
-0.347,1.1417115608801309e+17,0.0
-0.346,1.0933098082871222e+17,0.0
-0.345,1.046828566384402e+17,0.0
-0.344,1.0021968765506022e+17,0.0
-0.343,9.593462070667669e+16,0.0
-0.342,9.182103768144963e+16,0.0
-0.341,8.787254811611312e+16,0.0
-0.34,8.40829819975356e+16,0.0
-0.339,8.044638277179866e+16,0.0
-0.338,7.695700055539267e+16,0.0
-0.337,7.360928554325574e+16,0.0
-0.336,7.039788160850424e+16,0.0
-0.335,6.731762008882462e+16,0.0
-0.334,6.43635137546106e+16,0.0
-0.333,6.153075095405025e+16,0.0
-0.332,5.881468993047512e+16,0.0
-0.331,5.621085330739837e+16,0.0
-0.33,5.371492273677459e+16,0.0
-0.329,5.132273370612083e+16,0.0
-0.328,4.9030270500242936e+16,0.0
-0.327,4.68336613134116e+16,0.0
-0.326,4.472917350793324e+16,0.0
-0.325,4.2713209015157736e+16,0.0
-0.324,4.0782299875060184e+16,0.0
-0.323,3.8933103910628264e+16,0.0
-0.322,3.716240053337669e+16,0.0
-0.321,3.5467086676401124e+16,0.0
-0.32,3.384417285147077e+16,0.0
-0.319,3.2290779326744e+16,0.0
-0.318,3.080413242177665e+16,0.0
-0.317,2.9381560916573188e+16,0.0
-0.316,2.802049257151212e+16,0.0
-0.315,2.6718450755055084e+16,0.0
-0.314,2.547305117622593e+16,0.0
-0.313,2.4281998718921576e+16,0.0
-0.312,2.3143084375189252e+16,0.0
-0.311,2.2054182274677376e+16,0.0
-0.31,2.1013246807536812e+16,0.0
-0.309,2.0018309838118756e+16,0.0
-0.308,1.906747800688223e+16,0.0
-0.307,1.815893011798974e+16,0.0
-0.306,1.729091461013475e+16,0.0
-0.305,1.6461747108206196e+16,0.0
-0.304,1.5669808053457906e+16,0.0
-0.303,1.491354040990983e+16,0.0
-0.302,1.4191447444767362e+16,0.0
-0.301,1.3502090580701952e+16,0.0
-0.3,1.2844087317892358e+16,0.0
-0.299,1.2216109223780672e+16,0.0
-0.298,1.1616879988550876e+16,0.0
-0.297,1.1045173544389682e+16,0.0
-0.296,1.0499812246640604e+16,0.0
-0.295,9979665115012396.0,0.0
-0.294,9483646133051058.0,0.0
-0.293,9010712604133058.0,0.0
-0.292,8559863562283056.0,0.0
-0.291,8130138236165574.0,0.0
-0.29,7720614564643788.0,0.0
-0.289,7330407762342328.0,0.0
-0.288,6958668933693023.0,0.0
-0.287,6604583733983782.0,0.0
-0.286,6267371075971295.0,0.0
-0.285,5946281880657243.0,0.0
-0.284,5640597870866306.0,0.0
-0.283,5349630406301714.0,0.0
-0.282,5072719358790448.0,0.0
-0.281,4809232026466005.0,0.0
-0.28,4558562085671422.0,0.0
-0.279,4320128579399289.5,0.0
-0.278,4093374941118201.5,0.0
-0.277,3877768052868003.5,0.0
-0.276,3672797336537156.0,0.0
-0.275,3477973877266600.0,0.0
-0.274,3292829577954264.5,0.0
-0.273,3116916343863740.0,0.0
-0.272,2949805296369003.0,0.0
-0.271,2791086014894865.0,0.0
-0.27,2640365806139968.0,0.0
-0.269,2497268999695420.5,0.0
-0.268,2361436269197999.0,0.0
-0.267,2232523978181787.0,0.0
-0.266,2110203549816663.8,0.0
-0.265,1994160859745712.8,0.0
-0.264,1884095651256960.0,0.0
-0.263,1779720972047283.5,0.0
-0.262,1680762631858439.2,0.0
-0.261,1586958680286524.0,0.0
-0.26,1498058904087076.8,0.0
-0.259,1413824343318317.8,0.0
-0.258,1334026825684846.8,0.0
-0.257,1258448518463339.0,0.0
-0.256,1186881497410546.0,0.0
-0.255,1119127332072171.0,0.0
-0.254,1054996686928924.1,0.0
-0.253,994308937833360.2,0.0
-0.252,936891803207937.4,0.0
-0.251,882580989491064.5,0.0
-0.25,831219850333869.9,0.0
-0.249,782659059065866.9,0.0
-0.248,736756293962791.1,0.0
-0.247,693375935864517.1,0.0
-0.246,652388777705202.6,0.0
-0.245,613671745531683.2,0.0
-0.244,577107630599577.0,0.0
-0.243,542584832149672.4,0.0
-0.242,509997110479890.8,0.0
-0.241,479243349940475.0,0.0
-0.24,450227331492079.94,0.0
-0.239,422857514478113.6,0.0
-0.238,397046827274026.94,0.0
-0.237,372712466487260.7,0.0
-0.236,349775704392267.2,0.0
-0.235,328161704295426.2,0.0
-0.234,307799343534752.06,0.0
-0.233,288621043829105.5,0.0
-0.232,270562608701132.84,0.0
-0.231,253563067707386.8,0.0
-0.23,237564527218055.25,0.0
-0.229,222512027497421.12,0.0
-0.228,208353405844612.38,0.0
-0.227,195039165562400.53,0.0
-0.226,182522350529741.94,0.0
-0.225,170758425161468.03,0.0
-0.224,159705159545999.03,0.0
-0.223,149322519559206.2,0.0
-0.222,139572561759572.17,0.0
-0.221,130419332876608.4,0.0
-0.22,121828773711092.9,0.0
-0.219,113768627272089.75,0.0
-0.218,106208350981908.73,0.0
-0.217,99119032786173.66,0.0
-0.216,92473311011985.62,0.0
-0.215,86245297822803.89,0.0
-0.214,80410506124124.75,0.0
-0.213,74945779779326.44,0.0
-0.212,69829227000162.734,0.0
-0.211,65040156781343.83,0.0
-0.21,60559018253435.53,0.0
-0.209,56367342832949.54,0.0
-0.208,52447689052983.99,0.0
-0.207,48783589962120.52,0.0
-0.206,45359502983480.38,0.0
-0.205,42160762129908.67,0.0
-0.204,39173532475181.625,0.0
-0.203,36384766784931.79,0.0
-0.202,33782164214655.758,0.0
-0.201,31354130985719.402,0.0
-0.2,29089742953702.098,0.0
-0.199,26978709986736.12,0.0
-0.198,25011342074697.086,0.0
-0.197,23178517093191.637,0.0
-0.196,21471650149273.92,0.0
-0.195,19882664438704.08,0.0
-0.194,18403963547343.406,0.0
-0.193,17028405131966.092,0.0
-0.192,15749275918358.018,0.0
-0.191,14560267957073.203,0.0
-0.19,13455456079628.844,0.0
-0.189,12429276500246.32,0.0
-0.188,11476506510487.26,0.0
-0.187,10592245216295.885,0.0
-0.186,9771895269042.277,0.0
-0.185,9011145544169.8,0.0
-0.184,8305954722984.417,0.0
-0.183,7652535734987.509,0.0
-0.182,7047341019949.276,0.0
-0.181,6487048570648.126,0.0
-0.18,5968548718865.856,0.0
-0.179,5488931628830.189,0.0
-0.178,5045475463837.87,0.0
-0.177,4635635193274.698,0.0
-0.176,4257032008675.3955,0.0
-0.175,3907443318838.5493,0.0
-0.174,3584793295330.949,0.0
-0.173,3287143940983.889,0.0
-0.172,3012686655202.8916,0.0
-0.171,2759734271083.397,0.0
-0.17,2526713540449.9907,0.0
-0.169,2312158044017.3774,0.0
-0.168,2114701504908.6226,0.0
-0.167,1933071484762.2734,0.0
-0.166,1766083442615.8396,0.0
-0.165,1612635137670.1726,0.0
-0.164,1471701357919.1594,0.0
-0.163,1342328957472.8223,0.0
-0.162,1223632186210.946,0.0
-0.161,1114788296179.7268,0.0
-0.16,1015033409887.0465,0.0
-0.159,923658636363.915,0.0
-0.158,840006421541.4108,0.0
-0.157,763467120145.4407,0.0
-0.156,693475776936.582,0.0
-0.155,629509105720.448,0.0
-0.154,571082655126.2661,0.0
-0.153,517748150698.73694,0.0
-0.152,469091003371.6145,0.0
-0.151,424727974891.7808,0.0
-0.15,384304991240.72034,0.0
-0.149,347495095557.08405,0.0
-0.148,313996532500.3124,0.0
-0.147,283530956411.82477,0.0
-0.146,255841756027.88095,0.0
-0.145,230692488877.5975,0.0
-0.144,207865418861.48813,0.0
-0.143,187160150850.99152,0.0
-0.142,168392356478.41708,0.0
-0.141,151392585600.23233,0.0
-0.14,136005158215.27135,0.0
-0.139,122087131903.83977,0.0
-0.138,109507340124.46638,0.0
-0.137,98145496962.70381,0.0
-0.136,87891364171.51468,0.0
-0.135,78643976575.89583,0.0
-0.134,70310922135.98769,0.0
-0.133,62807673173.51316,0.0
-0.132,56056965466.43106,0.0
-0.131,49988222106.645004,0.0
-0.13,44537019195.917244,0.0
-0.129,39644590626.217545,0.0
-0.128,35257369352.99907,0.0
-0.127,31326562723.730267,0.0
-0.126,27807759569.800476,0.0
-0.125,24660566908.018845,0.0
-0.124,21848274228.696217,0.0
-0.123,19337543471.067883,0.0
-0.122,17098122903.910767,0.0
-0.121,15102583239.938385,0.0
-0.12,13326074417.221508,0.0
-0.119,11746101579.768837,0.0
-0.118,10342318882.785181,0.0
-0.117,9096339836.268696,0.0
-0.116,7991562983.769353,0.0
-0.115,7013011791.54915,0.0
-0.114,6147187697.29576,0.0
-0.113,5381935337.168974,0.0
-0.112,4706319035.517277,0.0
-0.111,4110509703.296414,0.0
-0.11,3585681349.2493,0.0
-0.109,3123916462.4554615,0.0
-0.108,2718119576.108857,0.0
-0.107,2361938370.5073037,0.0
-0.106,2049691718.4002304,0.0
-0.105,1776304118.2011106,0.0
-0.104,1537246000.2774642,0.0
-0.103,1328479428.7282338,0.0
-0.102,1146408755.8830407,0.0
-0.101,987835819.3407565,0.0
-0.1,849919301.8311794,0.0
-0.099,730137902.6520405,0.0
-0.098,626256996.0173968,0.0
-0.097,536298476.4608213,0.0
-0.096,458513514.57015914,0.0
-0.095,391357967.88776463,0.0
-0.094,333470211.88407433,0.0
-0.093,283651174.59129834,0.0
-0.092,240846375.85187522,0.0
-0.091,204129788.2727751,0.0
-0.09,172689351.95729193,0.0
-0.089,145813988.9823561,0.0
-0.088,122881976.46949175,0.0
-0.087,103350549.02574626,0.0
-0.086,86746612.36809926,0.0
-0.085,72658460.14868262,0.0
-0.084,60728395.42308672,0.0
-0.083,50646166.901603475,0.0
-0.082,42143138.142068535,0.0
-0.081,34987115.228932925,0.0
-0.08,28977765.279562198,0.0
-0.079,23942564.36633786,0.0
-0.078,19733219.180311706,0.0
-0.077,16222512.025086218,0.0
-0.076,13301523.552246809,0.0
-0.075,10877192.063985862,0.0
-0.074,8870172.244512435,0.0
-0.073,7212959.867561917,0.0
-0.072,5848252.389163921,0.0
-0.071,4727518.3974857945,0.0
-0.07,3809751.6781404065,0.0
-0.069,3060388.1854287987,0.0
-0.068,2450366.507749877,0.0
-0.067,1955314.4976722032,0.0
-0.066,1554846.6214736444,0.0
-0.065,1231958.2856515585,0.0
-0.064,972504.9341912239,0.0
-0.063,764755.0943797138,0.0
-0.062,599007.7937801096,0.0
-0.061,467265.8887969563,0.0
-0.06,362957.8473302655,0.0
-0.059,280701.4247507614,0.0
-0.058,216103.47345901627,0.0
-0.057,165590.84049797824,0.0
-0.056,126267.94325718132,0.0
-0.055,95797.17777018182,0.0
-0.054,72298.81438669679,0.0
-0.053,54267.478049449135,0.0
-0.052,40502.70084284952,0.0
-0.051,30051.378230476254,0.0
-0.05,22160.262323508647,0.0
-0.049,16236.890056522756,0.0
-0.048,11817.575325869939,0.0
-0.047,8541.295635630944,0.0
-0.046,6128.478921665246,0.0
-0.045,4363.847994606564,0.0
-0.044,3082.6111755568304,0.0
-0.043,2159.40064311687,0.0
-0.042,1499.4569699290291,0.0
-0.041,1031.6412772673075,0.0
-0.04,702.9271460606467,0.0
-0.039,474.084471006826,0.0
-0.038,316.31823693222367,0.0
-0.037,208.66798144727997,0.0
-0.036,136.00959021031684,0.0
-0.035,87.53102593609795,0.0
-0.034,55.57847754209369,0.0
-0.033,34.78998360692871,0.0
-0.032,21.450491604828997,0.0
-0.031,13.01613289536326,0.0
-0.03,7.7667187056729485,0.0
-0.029,4.5545219797378955,0.0
-0.028,2.624671367957197,0.0
-0.027,1.4882608830393207,0.0
-0.026,0.8338390043000642,0.0
-0.025,0.4665102424579727,0.0
-0.024,0.26665039140773933,0.0
-0.023,0.1623626517039862,0.0
-0.022,0.11141725412275745,0.0
-0.021,0.08963065454700103,0.0
-0.02,0.08354047901597826,0.0
-0.019,0.08589098605946921,0.0
-0.018,0.09291849685760578,0.0
-0.017,0.10276276059942517,0.0
-0.016,0.114564464561794,0.0
-0.015,0.12796887163088166,0.0
-0.014,0.1428621071462318,0.0
-0.013,0.1592358801803872,0.0
-0.012,0.17712018814114744,0.0
-0.011,0.19655033015395953,0.0
-0.01,0.2175503518694555,0.0
-0.009,0.2401239864995563,0.0
-0.008,0.2642489847347257,0.0
-0.007,0.28987319201708467,0.0
-0.006,0.3169119051617076,0.0
-0.005,0.3452465393947765,0.0
-0.004,0.3747247960009378,0.0
-0.003,0.40516250910988516,0.0
-0.002,0.4363472497746319,0.0
-0.001,0.46804361920235915,0.0
0.0,0.5,0.5
0.001,0.5319563807976408,1.0
0.002,0.5636527502253682,1.0
0.003,0.5948374908901147,1.0
0.004,0.6252752039990623,1.0
0.005,0.6547534606052234,1.0
0.006,0.6830880948382924,1.0
0.007,0.7101268079829154,1.0
0.008,0.7357510152652744,1.0
0.009,0.7598760135004439,1.0
0.01,0.7824496481305445,1.0
0.011,0.8034496698460405,1.0
0.012,0.8228798118588525,1.0
0.013,0.8407641198196127,1.0
0.014,0.8571378928537682,1.0
0.015,0.8720311283691183,1.0
0.016,0.885435535438206,1.0
0.017,0.8972372394005749,1.0
0.018,0.9070815031423943,1.0
0.019,0.9141090139405309,1.0
0.02,0.9164595209840217,1.0
0.021,0.9103693454529991,1.0
0.022,0.8885827458772428,1.0
0.023,0.837637348296014,1.0
0.024,0.7333496085922606,1.0
0.025,0.5334897575420271,1.0
0.026,0.1661609956999357,1.0
0.027,-0.4882608830393207,1.0
0.028,-1.624671367957197,1.0
0.029,-3.5545219797378964,1.0
0.03,-6.7667187056729485,1.0
0.031,-12.01613289536326,1.0
0.032,-20.450491604828997,1.0
0.033,-33.78998360692871,1.0
0.034,-54.57847754209369,1.0
0.035,-86.53102593609795,1.0
0.036,-135.00959021031684,1.0
0.037,-207.66798144727997,1.0
0.038,-315.31823693222367,1.0
0.039,-473.084471006826,1.0
0.04,-701.9271460606467,1.0
0.041,-1030.6412772673075,1.0
0.042,-1498.4569699290291,1.0
0.043,-2158.40064311687,1.0
0.044,-3081.6111755568304,1.0
0.045,-4362.847994606564,1.0
0.046,-6127.478921665246,1.0
0.047,-8540.295635630944,1.0
0.048,-11816.575325869939,1.0
0.049,-16235.890056522756,1.0
0.05,-22159.262323508647,1.0
0.051,-30050.378230476254,1.0
0.052,-40501.70084284952,1.0
0.053,-54266.478049449135,1.0
0.054,-72297.81438669679,1.0
0.055,-95796.17777018182,1.0
0.056,-126266.94325718132,1.0
0.057,-165589.84049797824,1.0
0.058,-216102.47345901627,1.0
0.059,-280700.4247507614,1.0
0.06,-362956.8473302655,1.0
0.061,-467264.8887969563,1.0
0.062,-599006.7937801096,1.0
0.063,-764754.0943797138,1.0
0.064,-972503.9341912239,1.0
0.065,-1231957.2856515585,1.0
0.066,-1554845.6214736444,1.0
0.067,-1955313.4976722032,1.0
0.068,-2450365.507749877,1.0
0.069,-3060387.1854287987,1.0
0.07,-3809750.6781404065,1.0
0.071,-4727517.3974857945,1.0
0.072,-5848251.389163921,1.0
0.073,-7212958.867561917,1.0
0.074,-8870171.244512435,1.0
0.075,-10877191.063985862,1.0
0.076,-13301522.552246809,1.0
0.077,-16222511.025086218,1.0
0.078,-19733218.180311706,1.0
